Montreal,Hotel Place D'Armes,"Old Montreal, Montreal","US$16,362",One-Bedroom Suite,9.1,2022-05-01,2022-06-01,2,2
Montreal,Le Saint-Sulpice Hotel Montreal,"Old Montreal, Montreal","US$19,391",Signature Suite Two-Bedroom,9.2,2022-05-01,2022-06-01,2,2
Montreal,in front of parc Baldwin Suite appartment,"Plateau Mont Royal, Montreal","US$1,610",One-Bedroom Apartment,6.0,2022-05-01,2022-06-01,2,2
Montreal,fully renovated Room Apartment Suite,"Plateau Mont Royal, Montreal","US$1,739",One-Bedroom Apartment,5.4,2022-05-01,2022-06-01,2,2
Montreal,Apartment &amp; Studio Palais des Congres,"Downtown Montreal, Montreal","US$2,967",Apartment with Garden View,8.6,2022-05-01,2022-06-01,2,2
Montreal,François-Denis Apartments,"Plateau Mont Royal, Montreal","US$3,100",Apartment with Balcony,9.3,2022-05-01,2022-06-01,2,2
Montreal,Sonder Le Victoria,"Old Montreal, Montreal","US$4,017",One-Bedroom Suite,8.2,2022-05-01,2022-06-01,2,2
Montreal,Sonder Le Guerin,"Plateau Mont Royal, Montreal","US$4,370",One-Bedroom Suite,8.6,2022-05-01,2022-06-01,2,2
Montreal,Sonder at Penny Lane,"Old Montreal, Montreal","US$4,756",Standard Suite,8.4,2022-05-01,2022-06-01,2,2
Montreal,Parc Suites Hotel,"Plateau Mont Royal, Montreal","US$4,813",Deluxe King Suite,8.2,2022-05-01,2022-06-01,2,2
Montreal,LeMilton Centrally Located 4 Enjoyable Experience,"Plateau Mont Royal, Montreal","US$4,874",One-Bedroom Apartment,7.5,2022-05-01,2022-06-01,2,2
Montreal,Hôtel Saint-Laurent Montréal,"Downtown Montreal, Montreal","US$4,995",One-Bedroom Suite - Non-Smoking,8.1,2022-05-01,2022-06-01,2,2
Montreal,Shiny Spacious Condo with Perfect View in Crescent,"Downtown Montreal, Montreal","US$5,214",Deluxe Apartment,8.0,2022-05-01,2022-06-01,2,2
Montreal,Sweet Suites in Montreal,"Downtown Montreal, Montreal","US$5,632",Apartment with Balcony,0.0,2022-05-01,2022-06-01,2,2
Montreal,Golden Castle,"Downtown Montreal, Montreal","US$6,049",Apartment with Terrace,7.8,2022-05-01,2022-06-01,2,2
Montreal,Apart Hotel Montreal by Les Terrasses Saint Urbain,"Downtown Montreal, Montreal","US$8,523",Petite Suite,9.1,2022-05-01,2022-06-01,2,2
